IP:PORT, LOSS, DELAY
162.159.192.116:903,0.00%,144 ms
162.159.192.171:880,0.00%,144 ms
162.159.192.97:2408,0.00%,144 ms
162.159.195.225:988,0.00%,144 ms
162.159.195.110:1701,0.00%,144 ms
162.159.192.15:7103,0.00%,144 ms
162.159.192.56:1701,0.00%,144 ms
162.159.192.121:903,0.00%,144 ms
162.159.195.27:1387,0.00%,144 ms
162.159.192.161:854,0.00%,144 ms
162.159.195.86:3854,0.00%,144 ms
162.159.195.91:1074,0.00%,144 ms
162.159.195.63:968,0.00%,144 ms
162.159.195.99:1074,0.00%,144 ms
162.159.195.116:1014,0.00%,144 ms
162.159.195.70:1180,0.00%,144 ms
162.159.192.244:2506,0.00%,144 ms
162.159.195.41:1010,0.00%,144 ms
162.159.195.144:891,0.00%,144 ms
162.159.192.155:1002,0.00%,144 ms
162.159.195.236:988,0.00%,144 ms
162.159.195.24:1387,0.00%,144 ms
162.159.192.214:928,0.00%,144 ms
162.159.192.71:4198,0.00%,144 ms
162.159.195.37:1010,0.00%,144 ms
162.159.195.54:1180,0.00%,144 ms
162.159.192.239:2506,0.00%,144 ms
162.159.195.173:4177,0.00%,144 ms
162.159.195.201:7156,0.00%,144 ms
162.159.192.89:1701,0.00%,144 ms
162.159.192.114:1014,0.00%,144 ms
162.159.195.155:4177,0.00%,144 ms
162.159.192.92:2408,0.00%,144 ms
162.159.192.112:903,0.00%,144 ms
162.159.192.116:1014,0.00%,144 ms
162.159.195.124:1014,0.00%,144 ms
162.159.192.177:942,0.00%,144 ms
162.159.195.56:968,0.00%,144 ms
162.159.195.50:939,0.00%,144 ms
162.159.195.22:1387,0.00%,144 ms
162.159.192.77:4198,0.00%,144 ms
162.159.195.32:1010,0.00%,144 ms
162.159.192.23:7103,0.00%,144 ms
162.159.192.170:1387,0.00%,144 ms
162.159.192.171:1387,0.00%,144 ms
162.159.195.70:968,0.00%,144 ms
162.159.195.78:3854,0.00%,144 ms
162.159.192.246:2506,0.00%,144 ms
162.159.192.80:4198,0.00%,144 ms
162.159.195.132:908,0.00%,144 ms
162.159.195.99:3854,0.00%,144 ms
162.159.192.43:7103,0.00%,144 ms
162.159.192.18:7152,0.00%,144 ms
162.159.195.124:1701,0.00%,144 ms
162.159.192.86:1701,0.00%,144 ms
162.159.195.132:891,0.00%,144 ms
162.159.192.79:1701,0.00%,144 ms
162.159.192.80:1701,0.00%,144 ms
162.159.192.161:1002,0.00%,144 ms
162.159.195.139:908,0.00%,144 ms
162.159.195.48:939,0.00%,144 ms
162.159.192.138:854,0.00%,144 ms
162.159.195.57:1180,0.00%,144 ms
162.159.195.228:988,0.00%,144 ms
162.159.192.136:1002,0.00%,144 ms
162.159.195.130:908,0.00%,144 ms
162.159.195.199:7156,0.00%,144 ms
162.159.195.111:1701,0.00%,144 ms
162.159.192.63:4198,0.00%,144 ms
162.159.192.230:2506,0.00%,144 ms
162.159.195.219:988,0.00%,144 ms
162.159.195.81:1074,0.00%,144 ms
162.159.195.225:946,0.00%,144 ms
162.159.192.224:2506,0.00%,144 ms
162.159.195.44:939,0.00%,144 ms
162.159.195.148:908,0.00%,144 ms
162.159.192.219:928,0.00%,144 ms
162.159.195.163:955,0.00%,144 ms
162.159.195.219:946,0.00%,144 ms
162.159.195.191:7156,0.00%,144 ms
162.159.192.25:7152,0.00%,144 ms
162.159.192.92:942,0.00%,144 ms
162.159.192.165:1387,0.00%,144 ms
162.159.195.224:946,0.00%,144 ms
162.159.192.250:1014,0.00%,144 ms
162.159.195.50:1010,0.00%,144 ms
162.159.195.205:1018,0.00%,144 ms
162.159.195.127:891,0.00%,144 ms
162.159.195.241:988,0.00%,145 ms
162.159.195.242:988,0.00%,145 ms
162.159.195.142:908,0.00%,145 ms
162.159.192.242:2506,0.00%,145 ms
162.159.192.217:928,0.00%,145 ms
162.159.192.183:4177,0.00%,145 ms
162.159.195.149:908,0.00%,145 ms
162.159.195.198:1018,0.00%,145 ms
162.159.195.216:946,0.00%,145 ms
162.159.192.220:2506,0.00%,145 ms
162.159.195.29:8854,0.00%,145 ms
162.159.192.139:1002,0.00%,145 ms
162.159.195.168:4177,0.00%,145 ms
162.159.195.103:3854,0.00%,145 ms
162.159.195.41:939,0.00%,145 ms
162.159.195.106:1701,0.00%,145 ms
162.159.192.216:1701,0.00%,145 ms
162.159.192.17:7103,0.00%,145 ms
162.159.195.79:1074,0.00%,145 ms
162.159.192.112:1014,0.00%,145 ms
162.159.192.24:7152,0.00%,145 ms
162.159.195.224:988,0.00%,145 ms
162.159.195.222:988,0.00%,145 ms
162.159.195.17:8854,0.00%,145 ms
162.159.195.7:8854,0.00%,145 ms
162.159.195.90:1074,0.00%,145 ms
162.159.195.73:3854,0.00%,145 ms
162.159.192.43:7152,0.00%,145 ms
162.159.195.107:1701,0.00%,145 ms
162.159.192.28:7103,0.00%,145 ms
162.159.192.155:854,0.00%,145 ms
162.159.192.78:1701,0.00%,145 ms
162.159.192.134:1002,0.00%,145 ms
162.159.192.135:1002,0.00%,145 ms
162.159.192.183:942,0.00%,145 ms
162.159.192.34:7103,0.00%,145 ms
162.159.192.182:942,0.00%,145 ms
162.159.192.204:1701,0.00%,145 ms
162.159.195.54:968,0.00%,145 ms
162.159.195.6:854,0.00%,145 ms
162.159.192.143:1002,0.00%,145 ms
162.159.192.28:7152,0.00%,146 ms
162.159.192.38:7152,0.00%,146 ms
162.159.192.250:2506,0.00%,146 ms
162.159.195.93:3854,0.00%,146 ms
162.159.192.17:7152,0.00%,146 ms
162.159.195.36:1010,0.00%,146 ms
162.159.195.233:988,0.00%,146 ms
162.159.192.23:7152,0.00%,146 ms
162.159.192.46:7103,0.00%,146 ms
162.159.195.235:946,0.00%,148 ms
162.159.192.194:4177,0.00%,149 ms
162.159.195.64:1180,0.00%,149 ms
162.159.192.93:2408,0.00%,151 ms
162.159.192.184:942,0.00%,151 ms
162.159.192.113:1014,0.00%,151 ms
162.159.192.59:1701,0.00%,151 ms
162.159.192.213:928,0.00%,151 ms
162.159.195.96:3854,0.00%,151 ms
162.159.192.227:2506,0.00%,151 ms
162.159.192.8:7103,0.00%,151 ms
162.159.192.218:1701,0.00%,151 ms
162.159.195.100:3854,0.00%,151 ms
162.159.195.141:891,0.00%,151 ms
162.159.195.203:1018,0.00%,152 ms
162.159.192.253:1014,0.00%,152 ms
162.159.195.154:891,0.00%,152 ms
162.159.195.243:988,0.00%,152 ms
162.159.195.0:903,0.00%,152 ms
162.159.192.192:4177,0.00%,152 ms
162.159.192.14:7152,0.00%,152 ms
162.159.195.125:1701,0.00%,152 ms
162.159.195.243:2506,0.00%,152 ms
162.159.192.14:7103,0.00%,152 ms
162.159.192.16:7152,0.00%,152 ms
162.159.195.0:854,0.00%,152 ms
162.159.195.125:1014,0.00%,152 ms
162.159.195.112:1701,0.00%,153 ms
162.159.195.72:1180,0.00%,153 ms
162.159.195.230:946,0.00%,153 ms
162.159.192.164:1387,0.00%,153 ms
162.159.192.184:4177,0.00%,153 ms
162.159.195.230:988,0.00%,153 ms
162.159.195.112:1014,0.00%,154 ms
162.159.192.113:903,0.00%,154 ms
162.159.192.222:2506,0.00%,154 ms
162.159.195.171:4177,0.00%,154 ms
162.159.195.59:968,0.00%,154 ms
162.159.192.213:1701,0.00%,154 ms
162.159.195.203:7156,0.00%,154 ms
162.159.192.227:3581,0.00%,154 ms
162.159.192.109:1014,0.00%,154 ms
162.159.195.72:968,0.00%,154 ms
162.159.192.237:1014,0.00%,154 ms
162.159.192.237:2506,0.00%,154 ms
162.159.192.130:1014,0.00%,154 ms
162.159.192.5:7103,0.00%,154 ms
